Claim Term,What Consumers Think It Means,What Health Canada Says,Is It Regulated in Canada,Products Using This Term,Risk Level,Why It Matters,Recommendation
Clean,Free from harmful or toxic ingredients,No legal definition. Term is entirely unregulated.,No,4,Medium,Without a standard any product can call itself clean. Consumers make purchasing decisions based on a term that means nothing legally.,Maintain an internal definition document. List specifically what the product does not contain.
Natural,Made from plant or earth-derived ingredients only,No legal definition. No minimum percentage of natural ingredients is required.,No,3,Medium,A product can be 5% plant-derived and call itself natural. The term is used across price points with completely different meanings.,Define what natural means for your brand in an internal policy. Consider third-party certification.
Non-Toxic,Contains no toxic or dangerous ingredients,No legal definition. All cosmetics already must not contain prohibited ingredients so the claim is either redundant or misleading.,No,3,Medium,The word toxic is a scientific term with a specific meaning. Using it as marketing language without definition is potentially misleading.,Replace with specific claims about what is not included. Being free from parabens is more defensible than non-toxic.
Clinically Proven,Tested in a clinical trial with documented results,No standard for what constitutes a clinical test in cosmetics. The claim can be used after a consumer perception study of 20 people.,Partially — cannot make drug-like efficacy claims,3,High,Consumers assume clinical means pharmaceutical-grade evidence. Most cosmetic clinical tests are far below that standard and the methodology is almost never disclosed.,Specify the study type and sample size if using this claim. Avoid if the evidence is a perception survey only.
Dermatologist Tested,Reviewed and approved by a dermatologist,No standard exists. One dermatologist testing one product constitutes compliance with the literal claim.,No,2,Medium,The claim implies expert medical endorsement with no defined standard behind it.,Specify what the dermatologist tested for. Retain the testing documentation.
Organic,Certified to meet organic production standards,No federal standard for organic cosmetics. Companies may use certification bodies but it is not mandatory.,No federal standard — provincial and third-party certifications exist,2,High,Organic on food has a legal meaning. Organic on cosmetics does not. Consumers apply the same assumption to both.,Use only if certified by an accredited body such as ECOCERT or COSMOS. Display the certification mark prominently.
Cruelty-Free,No animal testing at any stage of production,No legal standard in Canada for this claim.,No,2,Low to Medium,A brand can call itself cruelty-free while using contract manufacturers that test on animals. Without third-party certification the claim is unverifiable.,Obtain Leaping Bunny or PETA certification. Display the certification mark to make the claim credible.
Heals or Repairs,Fixes skin damage or repairs the skin barrier,Heal and repair are drug claims in Canada. Products making these claims require Drug Identification Number approval not cosmetic notification.,Yes — these are drug claims,2,Critical,Any product claiming to heal skin is legally a drug in Canada. Selling it as a cosmetic is a violation of the Food and Drugs Act.,Remove immediately. Replace with cosmetically appropriate language such as helps improve the appearance of dry or damaged skin.
Detoxifies or Removes Toxins,Removes harmful substances from the skin,The skin does not accumulate toxins in the way this claim implies. The claim may be considered misleading.,No specific standard but misleading claims are prohibited,1,High,The claim has no scientific basis in the context of topical cosmetics and may constitute a misleading representation under the Competition Act.,Remove. Replace with deep cleansing or purifying which are cosmetically appropriate.
SPF or Sun Protection,Product protects against UV damage,SPF claims make a product a drug in Canada not a cosmetic. The product requires Drug Identification Number approval.,Yes — SPF products are drugs,1,Critical,This is one of the most commonly misclassified product types in Canadian beauty. Many moisturizers with SPF are sold as cosmetics when they legally require drug approval.,Pursue Drug Identification Number through Health Canada. Do not sell as a cosmetic.
